image,language,letter
data/arsl/arsl-0-0.jpg,3,0
data/arsl/arsl-0-1.jpg,3,0
data/arsl/arsl-0-10.jpg,3,0
data/arsl/arsl-0-100.jpg,3,0
data/arsl/arsl-0-101.jpg,3,0
data/arsl/arsl-0-102.jpg,3,0
data/arsl/arsl-0-103.jpg,3,0
data/arsl/arsl-0-104.jpg,3,0
data/arsl/arsl-0-105.jpg,3,0
data/arsl/arsl-0-106.jpg,3,0
data/arsl/arsl-0-107.jpg,3,0
data/arsl/arsl-0-108.jpg,3,0
data/arsl/arsl-0-109.jpg,3,0
data/arsl/arsl-0-11.jpg,3,0
data/arsl/arsl-0-110.jpg,3,0
data/arsl/arsl-0-111.jpg,3,0
data/arsl/arsl-0-112.jpg,3,0
data/arsl/arsl-0-113.jpg,3,0
data/arsl/arsl-0-114.jpg,3,0
data/arsl/arsl-0-115.jpg,3,0
data/arsl/arsl-0-116.jpg,3,0
data/arsl/arsl-0-117.jpg,3,0
data/arsl/arsl-0-118.jpg,3,0
data/arsl/arsl-0-119.jpg,3,0
data/arsl/arsl-0-12.jpg,3,0
data/arsl/arsl-0-120.jpg,3,0
data/arsl/arsl-0-121.jpg,3,0
data/arsl/arsl-0-122.jpg,3,0
data/arsl/arsl-0-123.jpg,3,0
data/arsl/arsl-0-124.jpg,3,0
data/arsl/arsl-0-125.jpg,3,0
data/arsl/arsl-0-126.jpg,3,0
data/arsl/arsl-0-127.jpg,3,0
data/arsl/arsl-0-128.jpg,3,0
data/arsl/arsl-0-129.jpg,3,0
data/arsl/arsl-0-13.jpg,3,0
data/arsl/arsl-0-130.jpg,3,0
data/arsl/arsl-0-131.jpg,3,0
data/arsl/arsl-0-132.jpg,3,0
data/arsl/arsl-0-133.jpg,3,0
data/arsl/arsl-0-134.jpg,3,0
data/arsl/arsl-0-135.jpg,3,0
data/arsl/arsl-0-136.jpg,3,0
data/arsl/arsl-0-137.jpg,3,0
data/arsl/arsl-0-138.jpg,3,0
data/arsl/arsl-0-139.jpg,3,0
data/arsl/arsl-0-14.jpg,3,0
data/arsl/arsl-0-140.jpg,3,0
data/arsl/arsl-0-141.jpg,3,0
data/arsl/arsl-0-142.jpg,3,0
data/arsl/arsl-0-143.jpg,3,0
data/arsl/arsl-0-144.jpg,3,0
data/arsl/arsl-0-145.jpg,3,0
data/arsl/arsl-0-146.jpg,3,0
data/arsl/arsl-0-147.jpg,3,0
data/arsl/arsl-0-148.jpg,3,0
data/arsl/arsl-0-149.jpg,3,0
data/arsl/arsl-0-15.jpg,3,0
data/arsl/arsl-0-150.jpg,3,0
data/arsl/arsl-0-151.jpg,3,0
data/arsl/arsl-0-152.jpg,3,0
data/arsl/arsl-0-153.jpg,3,0
data/arsl/arsl-0-154.jpg,3,0
data/arsl/arsl-0-155.jpg,3,0
data/arsl/arsl-0-156.jpg,3,0
data/arsl/arsl-0-157.jpg,3,0
data/arsl/arsl-0-158.jpg,3,0
data/arsl/arsl-0-159.jpg,3,0
data/arsl/arsl-0-16.jpg,3,0
data/arsl/arsl-0-160.jpg,3,0
data/arsl/arsl-0-161.jpg,3,0
data/arsl/arsl-0-162.jpg,3,0
data/arsl/arsl-0-163.jpg,3,0
data/arsl/arsl-0-164.jpg,3,0
data/arsl/arsl-0-165.jpg,3,0
data/arsl/arsl-0-166.jpg,3,0
data/arsl/arsl-0-167.jpg,3,0
data/arsl/arsl-0-168.jpg,3,0
data/arsl/arsl-0-169.jpg,3,0
data/arsl/arsl-0-17.jpg,3,0
data/arsl/arsl-0-170.jpg,3,0
data/arsl/arsl-0-171.jpg,3,0
data/arsl/arsl-0-172.jpg,3,0
data/arsl/arsl-0-173.jpg,3,0
data/arsl/arsl-0-174.jpg,3,0
data/arsl/arsl-0-175.jpg,3,0
data/arsl/arsl-0-176.jpg,3,0
data/arsl/arsl-0-177.jpg,3,0
data/arsl/arsl-0-178.jpg,3,0
data/arsl/arsl-0-179.jpg,3,0
data/arsl/arsl-0-18.jpg,3,0
data/arsl/arsl-0-180.jpg,3,0
data/arsl/arsl-0-181.jpg,3,0
data/arsl/arsl-0-182.jpg,3,0
data/arsl/arsl-0-183.jpg,3,0
data/arsl/arsl-0-184.jpg,3,0
data/arsl/arsl-0-185.jpg,3,0
data/arsl/arsl-0-186.jpg,3,0
data/arsl/arsl-0-187.jpg,3,0
data/arsl/arsl-0-188.jpg,3,0
data/arsl/arsl-0-189.jpg,3,0
data/arsl/arsl-0-19.jpg,3,0
