image,language,letter
data/asl/asl-0-1065.jpg,0,0
data/asl/asl-0-1085.jpg,0,0
data/asl/asl-0-1124.jpg,0,0
data/asl/asl-0-1174.jpg,0,0
data/asl/asl-0-1185.jpg,0,0
data/asl/asl-0-121.jpg,0,0
data/asl/asl-0-1212.jpg,0,0
data/asl/asl-0-1259.jpg,0,0
data/asl/asl-0-126.jpg,0,0
data/asl/asl-0-1311.jpg,0,0
data/asl/asl-0-1314.jpg,0,0
data/asl/asl-0-1324.jpg,0,0
data/asl/asl-0-1407.jpg,0,0
data/asl/asl-0-1423.jpg,0,0
data/asl/asl-0-1453.jpg,0,0
data/asl/asl-0-1463.jpg,0,0
data/asl/asl-0-1507.jpg,0,0
data/asl/asl-0-1527.jpg,0,0
data/asl/asl-0-1589.jpg,0,0
data/asl/asl-0-1595.jpg,0,0
data/asl/asl-0-1603.jpg,0,0
data/asl/asl-0-1615.jpg,0,0
data/asl/asl-0-1623.jpg,0,0
data/asl/asl-0-1633.jpg,0,0
data/asl/asl-0-1656.jpg,0,0
data/asl/asl-0-1672.jpg,0,0
data/asl/asl-0-1676.jpg,0,0
data/asl/asl-0-1737.jpg,0,0
data/asl/asl-0-1740.jpg,0,0
data/asl/asl-0-1741.jpg,0,0
data/asl/asl-0-1757.jpg,0,0
data/asl/asl-0-1817.jpg,0,0
data/asl/asl-0-1829.jpg,0,0
data/asl/asl-0-1902.jpg,0,0
data/asl/asl-0-1957.jpg,0,0
data/asl/asl-0-1997.jpg,0,0
data/asl/asl-0-2004.jpg,0,0
data/asl/asl-0-2030.jpg,0,0
data/asl/asl-0-2093.jpg,0,0
data/asl/asl-0-2109.jpg,0,0
data/asl/asl-0-2146.jpg,0,0
data/asl/asl-0-2192.jpg,0,0
data/asl/asl-0-220.jpg,0,0
data/asl/asl-0-221.jpg,0,0
data/asl/asl-0-2216.jpg,0,0
data/asl/asl-0-2264.jpg,0,0
data/asl/asl-0-2274.jpg,0,0
data/asl/asl-0-2288.jpg,0,0
data/asl/asl-0-2297.jpg,0,0
data/asl/asl-0-2306.jpg,0,0
data/asl/asl-0-2321.jpg,0,0
data/asl/asl-0-2324.jpg,0,0
data/asl/asl-0-2327.jpg,0,0
data/asl/asl-0-2337.jpg,0,0
data/asl/asl-0-2343.jpg,0,0
data/asl/asl-0-2357.jpg,0,0
data/asl/asl-0-2362.jpg,0,0
data/asl/asl-0-2367.jpg,0,0
data/asl/asl-0-2371.jpg,0,0
data/asl/asl-0-245.jpg,0,0
data/asl/asl-0-2475.jpg,0,0
data/asl/asl-0-2515.jpg,0,0
data/asl/asl-0-2521.jpg,0,0
data/asl/asl-0-2549.jpg,0,0
data/asl/asl-0-2564.jpg,0,0
data/asl/asl-0-2589.jpg,0,0
data/asl/asl-0-260.jpg,0,0
data/asl/asl-0-2615.jpg,0,0
data/asl/asl-0-2617.jpg,0,0
data/asl/asl-0-2623.jpg,0,0
data/asl/asl-0-2639.jpg,0,0
data/asl/asl-0-267.jpg,0,0
data/asl/asl-0-2670.jpg,0,0
data/asl/asl-0-2753.jpg,0,0
data/asl/asl-0-2790.jpg,0,0
data/asl/asl-0-2804.jpg,0,0
data/asl/asl-0-2818.jpg,0,0
data/asl/asl-0-284.jpg,0,0
data/asl/asl-0-2849.jpg,0,0
data/asl/asl-0-287.jpg,0,0
data/asl/asl-0-2885.jpg,0,0
data/asl/asl-0-2901.jpg,0,0
data/asl/asl-0-2904.jpg,0,0
data/asl/asl-0-292.jpg,0,0
data/asl/asl-0-2926.jpg,0,0
data/asl/asl-0-2930.jpg,0,0
data/asl/asl-0-2954.jpg,0,0
data/asl/asl-0-297.jpg,0,0
data/asl/asl-0-2983.jpg,0,0
data/asl/asl-0-2991.jpg,0,0
data/asl/asl-0-3030.jpg,0,0
data/asl/asl-0-3039.jpg,0,0
data/asl/asl-0-3050.jpg,0,0
data/asl/asl-0-3051.jpg,0,0
data/asl/asl-0-3059.jpg,0,0
