image,language,letter
data/asl/asl-0-1064.jpg,0,0
data/asl/asl-0-1084.jpg,0,0
data/asl/asl-0-1123.jpg,0,0
data/asl/asl-0-1173.jpg,0,0
data/asl/asl-0-1184.jpg,0,0
data/asl/asl-0-121.jpg,0,0
data/asl/asl-0-1211.jpg,0,0
data/asl/asl-0-1258.jpg,0,0
data/asl/asl-0-126.jpg,0,0
data/asl/asl-0-1309.jpg,0,0
data/asl/asl-0-1312.jpg,0,0
data/asl/asl-0-1322.jpg,0,0
data/asl/asl-0-1405.jpg,0,0
data/asl/asl-0-1421.jpg,0,0
data/asl/asl-0-1451.jpg,0,0
data/asl/asl-0-1460.jpg,0,0
data/asl/asl-0-1462.jpg,0,0
data/asl/asl-0-1506.jpg,0,0
data/asl/asl-0-1526.jpg,0,0
data/asl/asl-0-1588.jpg,0,0
data/asl/asl-0-1594.jpg,0,0
data/asl/asl-0-1602.jpg,0,0
data/asl/asl-0-1614.jpg,0,0
data/asl/asl-0-1622.jpg,0,0
data/asl/asl-0-1632.jpg,0,0
data/asl/asl-0-1655.jpg,0,0
data/asl/asl-0-1671.jpg,0,0
data/asl/asl-0-1675.jpg,0,0
data/asl/asl-0-1736.jpg,0,0
data/asl/asl-0-1739.jpg,0,0
data/asl/asl-0-1740.jpg,0,0
data/asl/asl-0-1756.jpg,0,0
data/asl/asl-0-1816.jpg,0,0
data/asl/asl-0-1828.jpg,0,0
data/asl/asl-0-1901.jpg,0,0
data/asl/asl-0-1956.jpg,0,0
data/asl/asl-0-1995.jpg,0,0
data/asl/asl-0-2002.jpg,0,0
data/asl/asl-0-2028.jpg,0,0
data/asl/asl-0-2091.jpg,0,0
data/asl/asl-0-2107.jpg,0,0
data/asl/asl-0-2144.jpg,0,0
data/asl/asl-0-2190.jpg,0,0
data/asl/asl-0-220.jpg,0,0
data/asl/asl-0-221.jpg,0,0
data/asl/asl-0-2214.jpg,0,0
data/asl/asl-0-2262.jpg,0,0
data/asl/asl-0-2272.jpg,0,0
data/asl/asl-0-2286.jpg,0,0
data/asl/asl-0-2295.jpg,0,0
data/asl/asl-0-2304.jpg,0,0
data/asl/asl-0-2319.jpg,0,0
data/asl/asl-0-2322.jpg,0,0
data/asl/asl-0-2325.jpg,0,0
data/asl/asl-0-2335.jpg,0,0
data/asl/asl-0-2341.jpg,0,0
data/asl/asl-0-2355.jpg,0,0
data/asl/asl-0-2360.jpg,0,0
data/asl/asl-0-2365.jpg,0,0
data/asl/asl-0-2369.jpg,0,0
data/asl/asl-0-245.jpg,0,0
data/asl/asl-0-2474.jpg,0,0
data/asl/asl-0-2514.jpg,0,0
data/asl/asl-0-2520.jpg,0,0
data/asl/asl-0-2548.jpg,0,0
data/asl/asl-0-2563.jpg,0,0
data/asl/asl-0-2588.jpg,0,0
data/asl/asl-0-259.jpg,0,0
data/asl/asl-0-2614.jpg,0,0
data/asl/asl-0-2616.jpg,0,0
data/asl/asl-0-2622.jpg,0,0
data/asl/asl-0-2638.jpg,0,0
data/asl/asl-0-266.jpg,0,0
data/asl/asl-0-2669.jpg,0,0
data/asl/asl-0-2752.jpg,0,0
data/asl/asl-0-2789.jpg,0,0
data/asl/asl-0-2803.jpg,0,0
data/asl/asl-0-2817.jpg,0,0
data/asl/asl-0-283.jpg,0,0
data/asl/asl-0-2848.jpg,0,0
data/asl/asl-0-286.jpg,0,0
data/asl/asl-0-2884.jpg,0,0
data/asl/asl-0-2900.jpg,0,0
data/asl/asl-0-2903.jpg,0,0
data/asl/asl-0-291.jpg,0,0
data/asl/asl-0-2925.jpg,0,0
data/asl/asl-0-2929.jpg,0,0
data/asl/asl-0-2953.jpg,0,0
data/asl/asl-0-296.jpg,0,0
data/asl/asl-0-2982.jpg,0,0
data/asl/asl-0-2990.jpg,0,0
data/asl/asl-0-3029.jpg,0,0
data/asl/asl-0-3038.jpg,0,0
data/asl/asl-0-3049.jpg,0,0
data/asl/asl-0-3050.jpg,0,0
data/asl/asl-0-3058.jpg,0,0
data/asl/asl-0-3098.jpg,0,0
data/asl/asl-0-3109.jpg,0,0
data/asl/asl-0-3137.jpg,0,0
data/asl/asl-0-3176.jpg,0,0
data/asl/asl-0-3240.jpg,0,0
data/asl/asl-0-3258.jpg,0,0
data/asl/asl-0-3262.jpg,0,0
data/asl/asl-0-3265.jpg,0,0
data/asl/asl-0-3273.jpg,0,0
data/asl/asl-0-3276.jpg,0,0
data/asl/asl-0-3349.jpg,0,0
data/asl/asl-0-3361.jpg,0,0
data/asl/asl-0-3362.jpg,0,0
data/asl/asl-0-3407.jpg,0,0
data/asl/asl-0-3416.jpg,0,0
data/asl/asl-0-343.jpg,0,0
data/asl/asl-0-3436.jpg,0,0
data/asl/asl-0-3438.jpg,0,0
data/asl/asl-0-3455.jpg,0,0
data/asl/asl-0-3472.jpg,0,0
data/asl/asl-0-3474.jpg,0,0
data/asl/asl-0-3502.jpg,0,0
data/asl/asl-0-3520.jpg,0,0
data/asl/asl-0-3551.jpg,0,0
data/asl/asl-0-3583.jpg,0,0
data/asl/asl-0-3636.jpg,0,0
data/asl/asl-0-3645.jpg,0,0
data/asl/asl-0-365.jpg,0,0
data/asl/asl-0-3653.jpg,0,0
data/asl/asl-0-366.jpg,0,0
data/asl/asl-0-3670.jpg,0,0
data/asl/asl-0-3698.jpg,0,0
data/asl/asl-0-3699.jpg,0,0
data/asl/asl-0-3750.jpg,0,0
data/asl/asl-0-3753.jpg,0,0
data/asl/asl-0-3789.jpg,0,0
