image,language,letter
data/asl/asl-0-1065.jpg,0,00
data/asl/asl-0-1085.jpg,0,00
data/asl/asl-0-1124.jpg,0,00
data/asl/asl-0-1174.jpg,0,00
data/asl/asl-0-1185.jpg,0,00
data/asl/asl-0-121.jpg,0,00
data/asl/asl-0-1212.jpg,0,00
data/asl/asl-0-1259.jpg,0,00
data/asl/asl-0-126.jpg,0,00
data/asl/asl-0-1311.jpg,0,00
data/asl/asl-0-1314.jpg,0,00
data/asl/asl-0-1324.jpg,0,00
data/asl/asl-0-1407.jpg,0,00
data/asl/asl-0-1423.jpg,0,00
data/asl/asl-0-1453.jpg,0,00
data/asl/asl-0-1463.jpg,0,00
data/asl/asl-0-1507.jpg,0,00
data/asl/asl-0-1527.jpg,0,00
data/asl/asl-0-1589.jpg,0,00
data/asl/asl-0-1595.jpg,0,00
data/asl/asl-0-1603.jpg,0,00
data/asl/asl-0-1615.jpg,0,00
data/asl/asl-0-1623.jpg,0,00
data/asl/asl-0-1633.jpg,0,00
data/asl/asl-0-1656.jpg,0,00
data/asl/asl-0-1672.jpg,0,00
data/asl/asl-0-1676.jpg,0,00
data/asl/asl-0-1737.jpg,0,00
data/asl/asl-0-1740.jpg,0,00
data/asl/asl-0-1741.jpg,0,00
data/asl/asl-0-1757.jpg,0,00
data/asl/asl-0-1817.jpg,0,00
data/asl/asl-0-1829.jpg,0,00
data/asl/asl-0-1902.jpg,0,00
data/asl/asl-0-1957.jpg,0,00
data/asl/asl-0-1997.jpg,0,00
data/asl/asl-0-2004.jpg,0,00
data/asl/asl-0-2030.jpg,0,00
data/asl/asl-0-2093.jpg,0,00
data/asl/asl-0-2109.jpg,0,00
data/asl/asl-0-2146.jpg,0,00
data/asl/asl-0-2192.jpg,0,00
data/asl/asl-0-220.jpg,0,00
data/asl/asl-0-221.jpg,0,00
data/asl/asl-0-2216.jpg,0,00
data/asl/asl-0-2264.jpg,0,00
data/asl/asl-0-2274.jpg,0,00
data/asl/asl-0-2288.jpg,0,00
data/asl/asl-0-2297.jpg,0,00
data/asl/asl-0-2306.jpg,0,00
data/asl/asl-0-2321.jpg,0,00
data/asl/asl-0-2324.jpg,0,00
data/asl/asl-0-2327.jpg,0,00
data/asl/asl-0-2337.jpg,0,00
